Ort;Nummer;Rechtswert [m];Hochwert [m];Hoehe [m ue. NN]
Altmarkt;1;5411525;5656080;114
Zwinger;2;5411250;5656485;110
Hbf;3;5411185;5655012;115
Chemiebau;4;5410975;5653670;143
Wasaplatz;5;5413006;5653677;123
Kiesgrube Leuben;6;5417342;5652295;113
Bahnhof Heidenau;7;5420417;5647789;122
Krieschendorf;8;5421799;5653002;300
Weißig;9;5421807;5657160;260
Höllenbornteich;10;5418894;5661178;238
Klotzsche Bahnhof;11;5414842;5663357;197
Hellerau;12;5412315;5663160;214
Heidefriedhof;13;5409300;5662094;152
Radebeul Ost;14;5405814;5661297;106
Kaditz;15;5406651;5659879;105
Ausfahrt Altstadt;16;5405565;5658645;166
Gompitz;17;5403674;5655580;286
Pesterwitz;18;5405458;5653772;272
Freital;19;5404933;5651773;206
Bannewitz;20;5410091;5649986;275
Ausfahrt Prohlis;21;5413509;5649728;207
Luga;22;5417770;5648533;156
Sandgrube Heide;23;5414484;5660545;131
Annenfriedhof;24;5408334;5655252;137
Bahnhof Neustadt;25;5411766;5657890;118
Bergmannstraße;26;5414992;5655301;118
Amalie-Dietrich-Platz;27;5407170;5655513;154
Klinikum Friedrichstadt;28;5410027;5657080;115
Rauenstraße;29;5415371;5653677;116
Dynamo-Stadion;30;5412175;5655092;116
Weißer Hirsch;31;5417153;5657556;227
Kleinzschachwitz;32;5419352;5651570;119
Leubnitz-Neuostra;33;5413522;5652059;142
Programmkino OST;34;5416020;5654936;117
Coschütz;35;5407706;5652339;184
